statistic,yoy_correlation,regression_weight,shrinkage_factor,n_pairs,p_value,ci_lower,ci_upper,y1_mean,y2_mean,y1_std,y2_std
pp_assists_pg,0.8935254818754209,0.8935254818754209,0.10647451812457909,617,4.954147056336174e-216,0.8764037000580664,0.9083911837779458,0.0037435619074140535,0.0032628595454749884,0.053270420982762,0.03743246141520744
blocks_pg,0.8706731810619831,0.8706731810619831,0.1293268189380169,617,1.1242164035276863e-191,0.8501673860732639,0.8885416564789935,0.7300610434255312,0.761282446571689,0.5013863619172169,0.5267724131389443
hits_per60,0.8689548659346251,0.8689548659346251,0.13104513406537488,617,4.916572981394881e-190,0.8481987273862649,0.8870464176309462,4.842323113866784,4.940582645886919,3.6036304077441725,3.53686590309157
toi_per_game,0.8618213364918363,0.8618213364918363,0.13817866350816366,617,1.8331792158504905e-183,0.8400320321017009,0.8808349211350452,1002.1326806887888,1009.0246165332874,219.76566275845028,224.9270740209963
hits_pg,0.8578631361145952,0.8578631361145952,0.1421368638854048,617,5.6583919092472195e-180,0.8355048118273499,0.8773855054341452,1.2488929039075243,1.281271276066453,0.7843856973007886,0.7817397997118183
shots_pg,0.8411332734008325,0.8411332734008325,0.15886672659916745,617,2.5912487330527047e-166,0.8164033800665097,0.8627837632009933,1.6969096718859087,1.798799621919277,0.6772613673438488,0.7682558109043344
blocks_per60,0.830109629443907,0.830109629443907,0.16989037055609302,617,3.7711902211966664e-158,0.8038465678230523,0.8531425992408832,2.5303859564588294,2.617512603355246,1.447829872018911,1.510614323283916
shots_per60,0.8237435751397033,0.8237435751397033,0.1762564248602967,617,1.064476567048811e-153,0.7966057686583912,0.8475677386963983,6.124298179920132,6.441735673109141,2.086611367327322,2.31751242889089
pp_assists_per60,0.813421463059774,0.813421463059774,0.18657853694022597,617,7.498680336925343e-147,0.7848818454370428,0.8385173032296698,0.010304633082296491,0.010371106312931892,0.12722011189268562,0.10529977567954286
dk_fpts_pg,0.8105770513245442,0.8105770513245442,0.18942294867545584,617,4.868759636283912e-145,0.7816547309276388,0.8360208848142499,6.456770613380362,6.896845982233846,2.6715728621884494,3.0571946222501505
assists_pg,0.7346409138576816,0.7346409138576816,0.2653590861423184,617,1.0630255980001961e-105,0.6960704514463613,0.7689832648191229,0.27774864560745943,0.2988510265517011,0.1785860968713841,0.18744507983702624
goals_pg,0.7117753336668877,0.7117753336668877,0.2882246663331123,617,2.0253835081759065e-96,0.6705126093919824,0.7486481155383364,0.16551563781479028,0.1781351643995703,0.127056520743278,0.14110829820313897
goals_per60,0.663826391400967,0.663826391400967,0.336173608599033,617,1.23995853986234e-79,0.6172341593143696,0.7057789746636065,0.6044575413374326,0.6377399483984881,0.4356275042239726,0.4606432240289899
assists_per60,0.6399636344288857,0.6399636344288857,0.3600363655711143,617,2.1786736835331823e-72,0.590877360663814,0.6843291642715899,0.9667908152121765,1.0240286926164914,0.5149462614495789,0.5225401392520557
pp_goals_pg,0.6398551334041145,0.6398551334041145,0.3601448665958855,617,2.3424422705409846e-72,0.5907577583587517,0.6842314589491184,0.0322293193496602,0.034097083986261545,0.04867188495909776,0.05076543877676876
pim_pg,0.6231249275610042,0.6231249275610042,0.37687507243899576,617,1.1900830097892595e-67,0.5723415821050355,0.6691467997558167,0.4394214947578286,0.48081187102195877,0.30501694410255975,0.3461592588423556
pp_goals_per60,0.6023109703009046,0.6023109703009046,0.39768902969909536,617,3.5122122566505355e-62,0.5495014064748215,0.650326966326432,0.10976226674473635,0.11391973234832926,0.16197876221674584,0.16502825909659527
